Name, Year, WikiLink
John Hasbrouck van Vleck,1899, /wiki/John_Hasbrouck_van_Vleck
Wernher Von Braun,1912, /wiki/Wernher_Von_Braun
Kan-Chang Wang,1907, /wiki/Kan-Chang_Wang
Alan Andrew Watson,1938, /wiki/Alan_Andrew_Watson
James Wait,1924, /wiki/James_Wait
Colin Webb,1937, /wiki/Colin_Webb
Alvin Weinberg,1915, /wiki/Alvin_Weinberg
Steven Weinberg,1933, /wiki/Steven_Weinberg
Victor Frederick Weisskopf,1908, /wiki/Victor_Frederick_Weisskopf
Peter Westervelt,1919, /wiki/Peter_Westervelt
Gian-Carlo Wick,1909, /wiki/Gian-Carlo_Wick
Carl Wieman,1951, /wiki/Carl_Wieman
Arthur Wightman,1922, /wiki/Arthur_Wightman
Eugene Wigner,1902, /wiki/Eugene_Wigner
Frank Wilczek,1951, /wiki/Frank_Wilczek
Kenneth G. Wilson,1936, /wiki/Kenneth_G._Wilson
David J. Wineland,1944, /wiki/David_J._Wineland
Robert Woodrow Wilson,1936, /wiki/Robert_Woodrow_Wilson
Mark B. Wise,1953, /wiki/Mark_B._Wise
Edward Witten,1951, /wiki/Edward_Witten
Emil Wolf,1922, /wiki/Emil_Wolf
Fred Alan Wolf,1934, /wiki/Fred_Alan_Wolf
Lincoln Wolfenstein,1923, /wiki/Lincoln_Wolfenstein
Stephen Wolfram,1959, /wiki/Stephen_Wolfram
Michael Woolfson,1927, /wiki/Michael_Woolfson
Chien-Shiung Wu,1912, /wiki/Chien-Shiung_Wu
